"","Metro","Metro_labor_force","Artists","Graphic_Designers","Fashion_Designers","Other_Designers","Musicians","Writers","Photographers","Dancers_Chors","Actors","Producers_Dirs"
"1","Akron, OH",444703,0.586140395979794,0.772846592944837,0.896176028049051,0.775583570914571,0.468826631127811,0.584828796837111,0.459785219618339,0,0.674251179598527,0.593483939784261
"2","Albany-Schenectady-Troy, NY",556796,0.862944476166368,1.00151875008064,0.775406400581701,0.932768498515817,0.925319550504711,1.11240184521016,0.618181044456002,0.447443071658685,1.44607512114976,1.07756120780422
"3","Albany, OR",13149,1.2761870263151,0,0,0.610010736931843,0.48373788406462,0.591892662684729,0,0,0,0
"4","Albuquerque, NM",539228,1.88481308406243,0.808110132977345,0.457525183853624,1.00468413041771,0.920078735025118,1.30259814976809,0.834502653030392,0,3.29745709663107,1.3581789702172
"5","Allentown-Bethlehem-Easton, PA-NJ",533335,0.765611716374801,0.873927901949941,0.035583118106461,0.644813694655203,0.644015768004252,0.558170700924911,1.04947343875434,1.33991333902767,0.554338145061236,0.219582458154067
"6","Amarillo, TX",146498,0.530724211491717,1.86039007517469,2.33176563035379,0.29885364890337,0.81529602599702,0.433859204517506,0.565826006627341,0,0.4866345705817,0.45762952569607
"7","Anchorage, AK",284373,1.76830480916573,0.193151873877111,0.166838292447854,0.552367936735803,0.745578217993702,0.697890847063042,1.01050467111444,1.82133162853516,0,0.644590696252669
"8","Ann Arbor, MI",250207,1.09318886484783,1.19380842342395,0,1.37446878719993,1.10442853321369,1.42048135765571,1.06961021988477,0.550262778532286,0.729080585385157,0.359521652126461
"9","Anniston-Oxford-Jacksonville, AL",64409,0.0434219420914709,0.194922813644253,0,0.726441158060436,0,0,0.416732778817858,1.11968646004847,0.976630841521205,0
"10","Asheville, NC",310597,3.00929656352851,1.63875326513729,0,1.09754384345781,1.29016756300492,1.66423825392397,1.49961596869888,0.506598947108689,0.155269557770509,0.625686618640136
"11","Atlanta-Sandy Springs-Roswell, GA",3710999,1.02148605993077,1.34183302320454,0.783707013059331,1.05423309410873,1.22741775418039,0.996705764252463,1.31171046809072,1.37978206126534,2.09905451301899,1.31971112648754
"12","Atlantic City-Hammonton, NJ",161552,0.415484381722722,0.560185354714013,0.616724287228721,0.914384579351959,0.559961215108179,0.224817504999383,0.576626994441376,0,0.09085345298537,0.829971900755459
"13","Auburn-Opelika, AL",80375,0.424516568481101,0.370981161082801,0.649315537320073,0.461552338502211,0.13189568558975,1.1539034908188,0.0196441983722473,4.07848919582989,0.391314562186869,0
"14","Augusta-Richmond County, GA-SC",315394,0.943504554852788,0.272012215231594,0.165471557201788,0.851964668088844,0.954589138383872,0.46679572035629,0.192735892567776,0.935425886996408,0,0.454728232357088
"15","Austin-Round Rock, TX",1525336,1.97252183740291,1.40575741953871,2.39502086218844,1.77782269485338,1.41131739766955,1.66591695007916,1.21988632698213,0.550167266054141,0.566353296127852,1.42594156042224
"16","Bakersfield, CA",457492,0.385134873822234,0.554569806634703,1.21335100316027,0.821110810519317,0.526782320956165,0.266519371717357,0.848998455198488,0.745195351786306,0.499572737883779,0.408091752650777
"17","Baltimore-Columbia-Towson, MD",1735368,0.918949039990525,1.19673201185883,0.164037734030846,0.978150296334779,0.934247932156542,1.20043427622232,0.749250973150065,1.46963103371352,0.345565346740292,0.824977566505563
"18","Bangor, ME",93400,1.80262510560821,0.263238233711901,0,1.46708725185844,0.234571440119601,1.21519397643403,0.650832377949904,0,0,0.354353210630945
"19","Barnstable Town, MA",170854,2.80897538119034,1.75133353728312,0.166613503008206,1.41231317184553,2.3660896426758,2.00809824608943,0.896400067217797,1.11281544527257,0.294538335053504,1.2318141007612
"20","Baton Rouge, LA",494662,0.260078877972837,0.938022070967926,1.61133124517953,0.586448849935897,1.62447200771261,0.572963984103849,1.0980072065254,3.61829852983847,1.91595640214502,0.593589473839836
"21","Beaumont-Port Arthur, TX",217389,0.319058204097746,0.729126780739414,1.11305521100513,0.616489622893108,0.503911709129043,0.295360262610079,0.991403353569499,0,0,0
"22","Beckley, WV",10084,0,0,0,0,1.68204930254283,1.02906209462403,0,0,0,0
"23","Bellingham, WA",144604,2.07720698902803,1.81602321945174,1.21396317689422,1.00075219821719,1.02635902333176,1.90617627232398,1.24474342781188,0,0.667011408188525,0.393199663499455
"24","Bend-Redmond, OR",97820,1.686864324494,1.79149307991049,0,1.81761934663827,0.260096889698045,1.48516530638562,3.08291113101974,0,0.793103382827967,1.90859448071672
"25","Binghamton, NY",111402,1.3255518952923,0.86401806248928,0.255530272732663,0.363003945459512,0.634406068668795,0.378420630095434,0.942505633087948,1.76554407882171,0.45172485859528,0.677978091515826
"26","Birmingham-Hoover, AL",663333,0.268152167939155,0.601715114779058,0.665174268980955,0.92403131760163,1.19116113981271,0.483002947625967,0.93663078993605,0.810461794224496,0.379319683305605,0.608967324935835
"27","Bismarck, ND",90525,0.179190615138176,0.479631331507435,0,0.886057020703319,1.03054204272444,0.766601526756551,1.33428375563609,0,0,0.403105351131506
"28","Blacksburg-Christiansburg-Radford, VA",110189,0.593927474749453,1.23908258180161,0,0.77039674245269,1.29560747280508,0.759286895086136,0.859742321376567,0,0.171261602895586,0.693143107393736
"29","Bloomington, IL",103227,1.16501347836604,1.32771839330284,0,1.21410689244287,0.239626616114431,0.753949705178055,0.879487833025654,0.698633934971104,0.162499645432659,0.452155715325713
"30","Bloomington, IN",95989,0.431217173310581,0.915557871507036,0,0.960962803748796,3.04080731208163,1.77024860042129,2.16301525600093,3.07355751391665,0,0.610023077225513
"31","Boise City, ID",490400,1.29800867943595,0.854436989083246,0.222516115819798,0.866191767746929,0.723458414368764,0.921800102855514,1.12686756822855,0.454546955542583,0.23088676298689,0.835824910519165
"32","Boston-Cambridge-Newton, MA-NH",3284270,1.17004800301588,1.24237795272743,0.313476490824608,1.32797720774472,1.09144211608442,1.45658720408766,1.15355205716473,0.317401203246125,0.713132216377961,0.901789584404596
"33","Bremerton-Silverdale, WA",169697,1.19981148519269,1.82800978063832,0.810789151493504,0.793688055157739,0.870427168195359,1.48672235701404,1.06998816172047,2.24080531873398,0.222409880686892,0.980168063514463
"34","Bridgeport-Stamford-Norwalk, CT",601561,0.956800730215711,1.54875325892737,1.64835484669039,1.61726614623855,1.34872228055664,1.46626906296458,0.545932512891012,0,1.1397873083524,1.84239245145278
"35","Brownsville-Harlingen, TX",205967,0.268858237434915,0.403828966359097,0,0.613356708034246,1.14949604202211,0.160593132113282,0.728251283924564,0,0.1221629015746,0
"36","Buffalo-Cheektowaga-Niagara Falls, NY",710726,0.724054771801225,0.900165243322059,0.821082893521222,0.818212307617799,0.588680730382875,0.780222278757154,0.496512996952209,0.147593787362141,0.5103870383137,0.602986815353553
"37","Burlington-South Burlington, VT",124324,2.05611320059439,1.13607440574743,0,0.854852346561384,0.369503620863202,4.02732577238187,0.476246273095715,0,0,1.82935697502253
"38","Burlington, NC",101351,0.656757013373675,0.681308613354282,0.608554404591524,1.23657992704759,1.09479279566152,0.620723420176109,0.78671718513437,0.711565600786002,0.786160637493625,0.125597750820759
"39","California-Lexington Park, MD",12847,1.30618690815111,0.814378421941095,0,0,0,0,0,0,0,0
"40","Canton-Massillon, OH",237010,0.670250992413951,0.670972776327979,0.680606892156997,0.34970671642184,0.679874094278712,0.284590962635443,0.539602117960084,0,0.106162298420386,0
"41","Cape Coral-Fort Myers, FL",420075,0.661782606667984,0.605211845399648,2.59767668149804,1.10905963863636,0.831113677361173,0.612940200914852,1.07308611036209,0.655500084643112,0.149744250125666,0.470703823669629
"42","Champaign-Urbana, IL",102900,0.864306035061144,0.305023894655313,0.968251137515786,1.05881768895889,1.05083946004487,1.54420567889712,0.920642824588558,0,0.32603208744562,0.569052528277938
"43","Charleston-North Charleston, SC",493835,0.810992711982504,1.17581527648018,0.624475760727323,1.216821244401,0.817174033353473,0.778802365944329,1.18617110327708,0.252244689549413,0.382134615032587,0.620360270033505
"44","Charleston, WV",101789,0.0549521828128688,0.313492368913789,0,0.919339978770096,0.402705408441657,0.917521141377733,0.729041594631647,0.322047145678637,0,1.00045841051074
"45","Charlotte-Concord-Gastonia, NC-SC",1640494,0.458599349060472,0.669960799966623,0.853161925175629,1.1180427743966,0.946920150188459,0.719929111190957,0.953312155332337,1.24289957774562,0.692756129197959,0.618692960435411
"46","Chattanooga, TN-GA",323073,0.827585795770643,0.97313208958858,0,0.563786666513793,0.958150570598174,0.604255019534825,1.74470838655185,0.933485260562293,0.421860078233098,0.596271200845152
"47","Cheyenne, WY",11735,0,0.668661243289982,0,2.44925678693667,0,0.884283098610028,0.874551843809199,0,0,4.26665531011305
"48","Chicago-Naperville-Elgin, IL-IN-WI",5849001,0.88612787046742,1.14040873860102,0.870366410557418,1.02839868990835,0.811743127521859,1.148103129356,0.97463263806478,1.08055191177671,1.10844341153187,0.850951801612443
"49","Chico, CA",126560,2.01094747158209,0.665468336541971,3.52383433896785,0.507018405810164,0.614266082079845,1.24527205742921,0.44288113754751,0.518028712254785,0.26508139853156,1.34107223382161
"50","Cincinnati, OH-KY-IN",1336381,0.618209961573298,1.24870076278772,0.635487239578455,1.0611131635984,0.856732098676818,1.00217646412773,0.770913268611659,1.3785620705662,0.324784870118343,0.596920099124858
"51","Clarksville, TN-KY",196864,0.198892098882344,0.286982514670316,0,0.205417778426124,0.88672910744853,0.537001791984807,1.05065537724616,1.23221280246755,0.660360550775397,0.271576936882446
"52","Cleveland-Elyria, OH",1262876,0.739233130723045,1.00946857936696,0.559770045119454,0.776458703582005,0.971514590824088,0.836080561355745,0.852040909559949,1.03310072016335,0.5794559861556,0.539601908008814
"53","Cleveland, TN",15147,0.0738565753791391,1.31236596122577,0,0.706061150055395,0.839858643634475,0,0.729670370976803,0,0,0.504236785242018
"54","Coeur d'Alene, ID",98582,0.629812317394291,1.33721396190109,0,0.200019966295018,0.652385176038986,0.960527197966887,0.760766327504467,0,1.44632876835686,1.29125577117879
"55","College Station-Bryan, TX",153415,0.576069733951425,1.60602044302219,0,0.679681943349206,1.90257832076005,1.01883452607611,1.22471329958711,0,1.3667463171037,0.259985229276334
"56","Colorado Springs, CO",477492,1.33778339216139,0.746069006237508,0.34776513550794,0.936502576546542,0.994634432978085,0.984750800482886,1.42020934334135,0.851286776956235,0.320562338121013,0.865528758925485
"57","Columbia, MO",96997,1.08990663852293,1.38603056474739,0.782610690858868,0.158496067866434,0.400741854634809,2.17978537021345,1.00922658987908,0,0,2.83468854808077
"58","Columbia, SC",495676,0.656766343851499,0.695481383768864,0.966735302811841,0.571764153110218,0.804158263504353,0.647681874132926,0.699184722470279,1.81206166805459,0.135365447583318,0.82008008069858
"59","Columbus, OH",1291200,1.09254003648135,1.12750292014106,1.23461018649782,0.983837370755362,0.794207916314524,0.838836635051458,0.835184610724662,0.573766547552285,0.245210558565738,0.645411369571092
"60","Corpus Christi, TX",264433,0.600742674749485,0.435216162330155,0.861211223802297,0.275524234434599,0.662821130711242,0.225645465704299,0.698595054202074,4.46279718799613,0.245811263094712,0.4621314033308
"61","Corvallis, OR",13782,0.32468598092231,0.151825853819145,0,0.65474242326269,1.64096020576035,0,0,0,3.95564072137576,0
"62","Crestview-Fort Walton Beach-Destin, FL",43065,2.01322837369688,0.255089645094882,0.991521541029749,1.44346898047963,1.85444649933543,0.271083128583821,3.61132917103642,0,2.19100717072585,0
"63","Dallas-Fort Worth-Arlington, TX",4638967,0.854891005921022,0.885097333477795,1.05546177676837,1.05501200122338,0.920491440390164,0.720432497711212,0.997584820900955,1.08116119546806,0.454707831626944,0.634602323679317
"64","Daphne-Fairhope-Foley, AL",134965,1.00709609152773,0.387593805307941,0.210918263571771,0.834502620318836,0.748816137164692,1.11486238174146,1.15231275331148,1.36015114069799,0,0.591051516310582
"65","Dayton, OH",493889,0.4258378762968,0.909833234285007,0.461100910414512,0.639471830126251,1.0102658296188,0.745887652403066,0.815203665728921,0.902671762270805,0.216519272511874,0.577335901817894
"66","Decatur, AL",84376,0.298317943651346,0.477386109897452,1.68688865571751,0.507002381714661,0.603078547223447,0.707169188306922,0.252621397035728,0,0.596414296686634,0.191096753599175
"67","Decatur, IL",46647,0.275797238698736,0.471002875469424,0,0.035823271860627,2.56049129025471,1.37646734256313,0.423098603385367,0,0,0.363852127494722
"68","Deltona-Daytona Beach-Ormond Beach, FL",362775,0.929749080011709,0.767135830764565,0.353110400367551,0.947975223868604,0.800690706311534,0.677573316702761,0.911805008761586,0,0.468169810083815,0.392998209927556
"69","Denver-Aurora-Lakewood, CO",2014431,1.18483000167089,1.41683720278607,0.569963527599714,1.43161762245149,1.26126636741749,1.4452788419554,1.10162491804388,0.937325407572366,0.764010628803035,1.19473743460001
"70","Des Moines-West Des Moines, IA",454667,0.644649498169361,1.60271266489996,0,1.13346966749215,0.438344933127744,1.18539209146183,1.16160369583598,1.73036654491218,0,0.655137295771131
"71","Detroit-Warren-Dearborn, MI",2563934,0.929587956809376,1.01953113798222,0.318277326443779,1.41612594062185,0.770985022619808,0.821606023760479,0.844586756982941,0.531871587770077,0.202815235443421,0.616630006589325
"72","Dothan, AL",16511,0,0.411877398785065,0,0.283382887466021,0.770476583800581,0.392808664003871,0.525950181268946,0,0.507975013599332,0
"73","Dover, DE",107901,0.119230718840233,0.164835759606967,0,0.582306103829883,0.183397274921599,0.150268854120164,0.351189133187506,0,0.796735418186767,0
"74","East Stroudsburg, PA",103019,0.754715494570065,0.431618033987695,6.63176698115045,0.765620645406982,1.96204525286467,0.61067317056338,1.19545317509597,0,0,0.67548415131296
"75","Eau Claire, WI",85567,0.790978830737354,0.703055355725855,0.776257529580129,0.328089206466381,0.991140577958901,0.909555859343147,1.46695273074276,0.229860976157744,0,0
"76","El Centro, CA",84365,0.019890456005473,0.452645842367948,0,0.1307285944691,0.645043095402331,0,0.664387326118804,0,0,0.120708423099008
"77","El Paso, TX",480607,0.342170870271073,0.410345093202692,0,0.421406757065334,0.632322564810576,0.215915751584739,0.56013097339589,0.327394551421676,0.0785304615266186,0.335491985794714
"78","Elkhart-Goshen, IN",119601,0.542511532023424,0.765422499673297,0,0.477837536115143,0,0.797144326678777,0.237625471317537,0,0,0.312202593797225
"79","Erie, PA",160363,0.680168061576626,0.329469478076116,0.325441257098588,0.356378012115682,0.290870769496798,0.618787731122074,1.03873217550101,0,0.575313070626792,0.862585341123934
"80","Eugene, OR",240086,1.52834992254378,1.10250779113707,2.0749448541434,1.03985486648497,1.23929750784448,1.03463311274873,0.993036949549644,2.89460512701047,0.655013368871355,0.360538773503479
"81","Fayetteville-Springdale-Rogers, AR-MO",310466,0.875604568571374,1.30582699549627,0,1.1238424056946,0.748931622127566,1.00899152893093,0.925577180234958,0,0,0.863757194094335
"82","Fayetteville, NC",193879,0.833782676722079,0.2940991120616,0.489421811937069,0.265466004077111,0.586888259314129,0.873100369409285,0.851022057137183,0.946842095865481,0.876011857153978,0.196970135653187
"83","Flagstaff, AZ",91710,2.09810657649182,1.51727020502462,0,0.59400468974959,0.99410746125586,1.12443632359339,2.28976147720562,0,2.21774075511188,1.2029436947236
"84","Florence, SC",83016,0.801809049610139,0.642741518406741,1.37161913091279,0.17311137849753,0.80025125963827,0.0703129211986982,0.247250310472703,0,1.21236996957771,0.0920024403254895
"85","Fort Collins, CO",240857,1.13098145687987,1.7592344970685,0.650038026448484,1.33069430227967,1.04166817763044,1.05286313700032,1.6060612679785,1.55155037549626,0.147994435123492,0.877321385224496
"86","Fort Wayne, IN",230392,1.01726106875503,0.835561479542959,1.11201452735632,0.828300028453768,0.825173365734715,0.926153428547886,0.973142066877546,0.113826372136125,0,0.0515678805421734
"87","Fresno, CA",539274,0.756142836441439,0.687756556681221,0.527868642711573,0.552808020017482,0.950142710845225,0.525564945287142,0.550431987271485,1.51967538354727,0.334383397243478,0.544484170029635
"88","Gadsden, AL",43434,0.682545862748014,0.0361317847308926,0,0.17697705823595,1.44817316680569,0.895933671966835,0.181758811549636,0,0.193101612781198,0
"89","Gainesville, FL",174547,0.602464215616282,1.32467050631387,0,0.392518775239846,1.41715049251172,1.07755648444069,0.850297225113702,2.77951888196271,0.672715407847399,0.534809283756551
"90","Gainesville, GA",120441,0.933485337222507,0.72099411802809,1.37872543472702,0.621573697322535,1.54326928360477,0.581572467803934,1.48135581895816,0,0.591916301932712,0.803247051171146
"91","Glens Falls, NY",78090,1.34662980462511,1.05842393052568,0.303779650008154,0.368062855611498,1.5295074557115,0.440184638394801,1.88036787434693,0.755609456276975,1.5842084502586,0.880254466315118
"92","Goldsboro, NC",66440,0,0.314940384909008,0.642683250518455,0.236421624433129,0.712697926812666,0.263565508710015,1.44962445957754,0,0.284032883224891,0.996285065410304
"93","Grand Junction, CO",84787,1.00276718827597,0.357846448174414,0,1.12734210308194,1.39202655028807,0.344221252446196,0.707635520521263,1.93312989676972,0,0.150134544723068
"94","Grand Rapids-Wyoming, MI",604326,0.903367234020539,1.34257484196745,0.463196029718751,0.886505033528167,1.43260059067052,1.13330570371695,1.72827905272658,0.227823391726035,0.197769498839905,0.525193042457723
"95","Greeley, CO",35984,0.792768770990702,2.994716867018,1.84587672392127,0.510825083017711,2.1408063111218,0.594783534612999,0.680107489012487,0,0,1.2735117695744
"96","Greensboro-High Point, NC",485972,0.6998067509433,1.10011385610531,0.195255305812983,0.621005527364477,0.619524760092028,0.581874972055265,1.02017270021562,1.25464828951787,1.04414269689835,0.104775235144697
