"","Metro","Metro_labor_force","Artists","Graphic_Designers","Fashion_Designers","Other_Designers","Musicians","Writers","Photographers","Dancers_Chors","Actors","Producers_Dirs"
"171","Myrtle Beach-Conway-North Myrtle Beach, SC-NC",279791,436,373,0,597,421,198,322,0,9,262
"172","Napa, CA",83251,155,137,54,317,113,100,116,0,6,21
"173","Naples-Immokalee-Marco Island, FL",204619,790,153,31,916,284,219,173,0,38,106
"174","Nashville-Davidson--Murfreesboro--Franklin, TN",1349406,2529,2885,198,4322,10163,2127,2574,135,524,1697
"175","New Haven-Milford, CT",538140,694,1076,50,796,690,1143,491,0,165,578
"176","New Orleans-Metairie, LA",745017,2031,1247,122,1561,2387,903,802,53,796,710
"177","New York-Newark-Jersey City, NY-NJ-PA",12384052,34130,35896,9369,58498,22756,33500,20813,2984,16146,39529
"178","Niles-Benton Harbor, MI",92113,139,56,34,338,112,131,92,10,4,31
"179","North Port-Sarasota-Bradenton, FL",468245,1313,1177,93,2310,1360,453,945,235,227,222
"180","Norwich-New London, CT",172362,199,434,15,820,142,117,388,0,41,116
"181","Not in identifiable area",39968897,55682,48713,3436,69976,38280,39115,37251,3525,6518,17982
"182","Ocala, FL",187014,158,214,0,685,493,126,169,40,0,115
"183","Ocean City, NJ",63902,46,46,0,66,61,27,80,0,0,46
"184","Odessa, TX",93447,97,125,0,223,27,31,214,0,0,0
"185","Ogden-Clearfield, UT",373370,759,675,24,1132,179,403,421,13,135,305
"186","Oklahoma City, OK",880832,1481,1112,12,1583,1353,1045,1018,113,139,564
"187","Olympia-Tumwater, WA",178820,426,93,0,335,138,127,244,15,0,382
"188","Omaha-Council Bluffs, NE-IA",661963,932,1274,11,1086,613,846,701,61,300,403
"189","Orlando-Kissimmee-Sanford, FL",1589154,3016,3001,209,4351,2422,1653,3967,101,2044,2307
"190","Oshkosh-Neenah, WI",110359,87,152,31,303,48,156,100,0,0,0
"191","Owensboro, KY",52108,15,117,0,15,96,0,41,0,0,0
"192","Oxnard-Thousand Oaks-Ventura, CA",500214,848,1202,92,2388,867,910,713,105,707,1004
"193","Palm Bay-Melbourne-Titusville, FL",350599,802,723,2,1020,608,328,351,100,124,150
"194","Panama City, FL",23480,39,0,0,62,59,10,51,0,0,0
"195","Parkersburg-Vienna, WV",41080,47,27,0,54,0,0,0,78,0,67
"196","Pensacola-Ferry Pass-Brent, FL",306024,512,355,37,959,760,247,411,122,12,152
"197","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",3898244,7048,8018,653,11478,4608,6584,4712,891,1335,3654
"198","Phoenix-Mesa-Scottsdale, AZ",2877909,3118,5028,226,8118,2505,3128,4317,562,722,2290
"199","Pittsburgh, PA",1446144,2229,2892,189,3622,1747,2251,2140,221,463,965
"200","Pittsfield, MA",82112,212,175,0,198,218,92,148,19,49,136
"201","Port St. Lucie, FL",270093,444,240,8,634,338,392,280,0,137,61
"202","Portland-South Portland, ME",365821,958,713,53,884,675,859,390,193,37,332
"203","Portland-Vancouver-Hillsboro, OR-WA",1595549,4526,4833,479,8420,2613,4631,2825,330,594,2051
"204","Prescott, AZ",130421,316,227,0,317,146,177,45,0,56,70
"205","Providence-Warwick, RI-MA",1066638,1733,2551,59,4209,1456,1524,1396,184,425,833
"206","Provo-Orem, UT",396503,1023,1823,22,1394,240,844,1046,16,159,467
"207","Pueblo, CO",86624,185,99,0,89,89,145,95,0,0,92
"208","Punta Gorda, FL",94994,152,89,0,247,45,46,72,38,7,91
"209","Racine, WI",117163,61,344,0,357,191,103,137,0,0,0
"210","Raleigh, NC",909104,1844,1866,84,3670,1047,1634,1062,82,150,632
"211","Reading, PA",266283,346,305,0,507,374,276,158,0,5,270
"212","Redding, CA",99078,202,247,4,158,101,61,192,23,48,106
"213","Reno, NV",304839,752,397,29,803,307,376,293,176,69,342
"214","Richmond, VA",832950,1729,1625,229,2555,1259,1485,623,131,269,1065
"215","Riverside-San Bernardino-Ontario, CA",2541550,3894,4431,592,5913,3081,2447,3724,140,1666,1926
"216","Roanoke, VA",192667,204,192,12,348,317,305,259,0,73,133
"217","Rochester, NY",679255,1071,1592,93,1477,1297,1042,1160,124,289,601
"218","Rockford, IL",199762,147,421,0,395,278,108,177,0,116,49
"219","Rocky Mount, NC",80929,29,1,12,121,35,26,32,0,0,21
"220","Sacramento--Roseville--Arden-Arcade, CA",1401470,2115,2321,354,3739,1826,2220,2080,74,619,1597
"221","Saginaw, MI",103543,95,111,24,120,99,6,68,0,0,46
"222","Salem, OR",57158,76,97,17,61,64,50,18,64,0,0
"223","Salinas, CA",287560,473,497,58,772,341,453,287,0,180,220
"224","Salisbury, MD-DE",253758,228,194,0,437,386,118,281,0,61,246
"225","Salt Lake City, UT",818971,1428,1968,116,2747,452,1214,1113,244,306,897
"226","San Angelo, TX",70531,167,52,0,122,67,4,36,9,0,18
"227","San Antonio-New Braunfels, TX",1470912,1618,2034,141,3582,1399,1801,1533,194,336,608
"228","San Diego-Carlsbad, CA",2030322,3927,5048,641,7897,2954,3448,3998,276,1336,2209
"229","San Francisco-Oakland-Hayward, CA",2991422,10386,10002,1206,21177,5305,8452,4728,548,1833,6749
"230","San Jose-Sunnyvale-Santa Clara, CA",1203067,1728,2467,391,6053,911,1693,1108,82,322,990
"231","San Luis Obispo-Paso Robles-Arroyo Grande, CA",179570,419,356,83,452,203,523,357,0,74,283
"232","Santa Cruz-Watsonville, CA",174238,777,418,0,959,397,463,277,0,41,234
"233","Santa Fe, NM",90767,1065,216,25,516,227,479,218,0,111,151
"234","Santa Maria-Santa Barbara, CA",271171,573,379,31,699,569,499,595,34,151,543
"235","Santa Rosa, CA",308767,1326,924,16,1374,628,609,502,23,291,403
"236","Scranton--Wilkes-Barre--Hazleton, PA",305082,159,419,48,264,446,384,243,21,180,65
"237","Seattle-Tacoma-Bellevue, WA",2595522,6690,6200,843,13418,3004,5355,3781,414,682,2817
"238","Sebastian-Vero Beach, FL",87068,154,53,0,510,201,88,19,0,0,81
"239","Sheboygan, WI",73622,170,87,0,294,109,122,56,0,0,38
"240","Shreveport-Bossier City, LA",214369,249,172,179,349,182,72,195,29,283,208
"241","Spartanburg, SC",192989,133,249,19,409,206,360,59,0,15,0
"242","Spokane-Spokane Valley, WA",386823,679,584,34,666,386,534,757,44,66,274
"243","Springfield, IL",115225,183,341,51,153,138,59,114,0,72,26
"244","Springfield, MA",338922,763,754,0,858,440,572,364,12,65,291
"245","Springfield, MO",249539,206,750,24,683,95,286,392,88,45,129
"246","Springfield, OH",78353,66,75,0,121,49,92,79,0,0,26
"247","St. Cloud, MN",26900,4,90,0,26,0,32,0,0,0,240
"248","St. George, UT",100484,308,402,0,543,26,93,212,0,53,29
"249","St. Joseph, MO-KS",66865,25,35,0,63,48,63,0,0,16,112
"250","St. Louis, MO-IL",1751331,2253,3062,305,4594,2387,2295,2070,155,199,1492
"251","State College, PA",106884,150,242,0,229,184,132,49,0,34,78
"252","Stockton-Lodi, CA",423578,196,277,97,1253,252,90,396,141,128,183
"253","Sumter, SC",13348,19,0,0,0,22,9,0,0,0,0
"254","Syracuse, NY",407555,653,719,61,735,559,352,481,74,258,552
"255","Tampa-St. Petersburg-Clearwater, FL",1879244,3258,3274,107,5118,2779,2865,2158,379,848,2144
"256","The Villages, FL",9885,9,79,0,17,0,18,0,0,0,0
"257","Toledo, OH",379916,441,592,0,880,684,356,398,71,0,195
"258","Topeka, KS",137729,135,94,0,191,162,192,106,0,43,12
"259","Trenton, NJ",234872,425,530,75,445,502,727,297,56,111,188
"260","Tucson, AZ",608057,1712,893,101,1541,986,1178,576,255,227,1034
"261","Tulsa, OK",130972,142,215,68,288,225,150,124,66,43,70
"262","Tuscaloosa, AL",151383,154,103,44,359,126,104,47,0,0,107
"263","Tyler, TX",132910,143,222,21,393,231,68,187,0,36,0
"264","Urban Honolulu, HI",626019,1427,1078,123,1413,811,465,1142,136,239,756
"265","Utica-Rome, NY",153730,235,261,0,334,289,122,169,11,15,141
"266","Vallejo-Fairfield, CA",268097,459,271,52,772,437,355,401,48,76,194
"267","Virginia Beach-Norfolk-Newport News, VA-NC",1067760,1384,1055,130,3616,2023,1257,1420,332,329,744
"268","Visalia-Porterville, CA",242686,134,197,99,196,169,159,242,9,39,81
"269","Waco, TX",151578,76,368,0,135,123,60,191,22,23,22
"270","Warner Robins, GA",20303,0,0,0,33,68,0,17,0,0,7
"271","Washington-Arlington-Alexandria, DC-VA-MD-WV",4045670,5814,8131,431,11449,5840,11059,4609,217,1339,6186
"272","Wausau, WI",86985,21,172,0,157,168,25,41,0,0,45
"273","Wenatchee, WA",71138,64,18,29,158,57,27,134,0,33,48
"274","Wichita Falls, TX",77158,52,46,0,59,91,56,43,127,0,86
"275","Wichita, KS",374090,507,499,0,727,183,366,636,35,129,475
"276","Wilmington, NC",180292,178,346,0,604,482,385,257,5,167,388
"277","Winston-Salem, NC",375278,548,508,14,1198,588,310,429,0,45,189
"278","Worcester, MA-CT",612205,990,1080,54,1632,408,683,515,285,106,591
"279","Yakima, WA",140362,218,98,29,52,171,60,38,24,0,76
"280","York-Hanover, PA",283458,195,436,0,884,255,64,281,44,22,96
"281","Youngstown-Warren-Boardman, OH-PA",305103,240,341,40,847,363,234,181,15,0,382
"282","Yuba City, CA",99003,129,65,0,79,89,39,107,22,21,245
"283","Yuma, AZ",106858,0,98,0,91,47,0,107,0,0,133
